iAH991	iJO1366
ACGAMT	ACGAMT
PGPP120	PGPP120pp
KDOPS	KDOPS
DASYN120	DASYN120
TRPS3r	TRPS3
MTHFC	MTHFC
ACGAMK	ACGAMK
SUCBZL	SUCBZL
TRPS2	TRPS2
FBP	FBP
ALTRH	ALTRH
FBA	FBA
3HAD60	3HAD60
OMPDC	OMPDC
PPCDC	PPCDC
UAGDP	UAGDP
PPA_1	PPA
3HAD141	3HAD141
UGMDDS	UGMDDS
NADDP	NADDP
PPND	PPND
AOBUTDs	AOBUTDs
EAR181x	EAR181x
DGK1	DGK1
DPCOAK	DPCOAK
TAGURr	TAGURr
METAT	METAT
3OAS120	3OAS120
3OAS121	3OAS121
CYTBD2	CYTBD2pp
PFK	PFK
GLYAT	GLYAT
ADSL1r	ADSL1r
CDPMEK	CDPMEK
OAADC	OAADC
NADH17	NADH17pp
NTP1	NTP1
GLCt2r	GLCt2pp
NTD3	NTD3pp
NTD2	NTD2pp
NTD5	NTD5pp
NTD4	NTD4pp
PSP_L	PSP_Lpp
NTD9	NTD9pp
NTD7	NTD7pp
NTD6	NTD6pp
NTD1	NTD1pp
NTD10	NTD10pp
NTD11	NTD11pp
NTD8	NTD8pp
GLUDy	GLUDy
UDPGDr	UDPGD
ICDHyr	ICDHyr
POX	POX
Kt3r	Kt3pp
XYLI2	XYLI2
NADH9	NADH9
FE3DCITabc	FE3DCITabcpp
URAt2r	URAt2rpp
URAt2r	URAt2pp
XANt2r	XANt2pp
GALK	GALKr
ATPS4	ATPS4rpp
TRDRr	TRDR
MOAT_BT	MOAT
CLPNS140	CLPNS140pp
CLPNS180	CLPNS180pp
CLPNS160	CLPNS160pp
S7PIr	S7PI
DRPAr	DRPA
LDH_D	LDH_D
HEX1	HEX1
H2Ot	H2Otpp
NH4t	NH4tpp
IPMDr	IPMD
ARBt2r	ARBt2rpp
URIK2	URIK2
CYTDK2	CYTDK2
GF6PTAr	GF6PTA
AMPN	AMPN
MTAN	MTAN
SADT2	SADT2
DHQS	DHQS
RPI	RPI
RMNt	RMNtpp
DPR	DPR
KARA2	KARA2
LCARS	LCARS
USHD_BT	USHD
SPODM	SPODM
PROt4r	PROt4pp
PGPP181	PGPP181
PGPP180	PGPP180
PGPP140	PGPP140
PGPP180	PGPP180pp
PGPP160	PGPP160pp
PGPP120	PGPP120
PGPP160	PGPP160
GMHEPPA	GMHEPPA
RBK	RBK
Kabc	Kabcpp
AMPTASEPGe	AMPTASEPG
FUCt	FUCtpp
SHK3Dr	SHK3Dr
GLYBabc	GLYBabcpp
APRAUR	APRAUR
NTPTP1	NTPTP1
NTD5	NTD5
NTD2	NTD2
NTD1	NTD1
PACCOALr	PACCOAL
HYD1	HYD1pp
HCYSMT	HCYSMT
GLUSy	GLUSy
GLCURt2r	GLCURt2rpp
GALURt2r	GALURt2rpp
NTD10	NTD10
NTD11	NTD11
NTD8	NTD8
NTD9	NTD9
